country,gender,age_group,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Kenya,Male,18-25,0.0009589526088191,37.0,0.03814432989690722,0.03718537728808812,0.03718537728808812,1.859268864404406,3.718537728808812,39.777075056795525,3877.7075056795525,Country × Gender × Age,country:Kenya × gender:Male × age_group:18-25,Highly Over-represented
Kenya,Male,26-35,0.0006917710723984,32.0,0.032989690721649485,0.032297919649251085,0.032297919649251085,1.6148959824625542,3.2297919649251083,47.68873987065231,4668.873987065232,Country × Gender × Age,country:Kenya × gender:Male × age_group:26-35,Highly Over-represented
Kenya,Female,26-35,0.00071946169431,30.0,0.030927835051546393,0.030208373357236393,0.030208373357236393,1.5104186678618197,3.0208373357236393,42.987465901444196,4198.746590144419,Country × Gender × Age,country:Kenya × gender:Female × age_group:26-35,Highly Over-represented
Kenya,Female,18-25,0.0009757647721226,27.0,0.027835051546391754,0.026859286774269155,0.026859286774269155,1.3429643387134578,2.6859286774269155,28.526395235443506,2752.6395235443506,Country × Gender × Age,country:Kenya × gender:Female × age_group:18-25,Highly Over-represented
China,Female,65+,0.0184030554623377,0.0,0.0,0.0184030554623377,-0.0184030554623377,0.920152773116885,-1.84030554623377,0.0,-100.0,Country × Gender × Age,country:China × gender:Female × age_group:65+,Missing
China,Male,46-55,0.0184724468422471,1.0,0.0010309278350515464,0.017441519007195552,-0.017441519007195552,0.8720759503597776,-1.7441519007195552,0.05580894853050979,-94.41910514694902,Country × Gender × Age,country:China × gender:Male × age_group:46-55,Highly Under-represented
China,Female,46-55,0.0180503296832258,1.0,0.0010309278350515464,0.017019401848174253,-0.017019401848174253,0.8509700924087127,-1.7019401848174254,0.05711407232686666,-94.28859276731333,Country × Gender × Age,country:China × gender:Female × age_group:46-55,Highly Under-represented
China,Female,56-65,0.0157231636667394,0.0,0.0,0.0157231636667394,-0.0157231636667394,0.7861581833369701,-1.5723163666739401,0.0,-100.0,Country × Gender × Age,country:China × gender:Female × age_group:56-65,Missing
China,Male,56-65,0.0153935134058871,0.0,0.0,0.0153935134058871,-0.0153935134058871,0.769675670294355,-1.53935134058871,0.0,-100.0,Country × Gender × Age,country:China × gender:Male × age_group:56-65,Missing
China,Male,65+,0.0151650657751165,0.0,0.0,0.0151650657751165,-0.0151650657751165,0.758253288755825,-1.51650657751165,0.0,-100.0,Country × Gender × Age,country:China × gender:Male × age_group:65+,Missing
China,Male,36-45,0.017999728368185,3.0,0.003092783505154639,0.01490694486303036,-0.01490694486303036,0.745347243151518,-1.490694486303036,0.17182389877734025,-82.81761012226598,Country × Gender × Age,country:China × gender:Male × age_group:36-45,Highly Under-represented
India,Female,26-35,0.0190094471171755,32.0,0.032989690721649485,0.013980243604473985,0.013980243604473985,0.6990121802236993,1.3980243604473985,1.7354366236060854,73.54366236060854,Country × Gender × Age,country:India × gender:Female × age_group:26-35,Highly Over-represented
Chile,Male,26-35,0.0002683353123337,12.0,0.012371134020618556,0.012102798708284856,0.012102798708284856,0.6051399354142428,1.2102798708284856,46.10326502698197,4510.326502698197,Country × Gender × Age,country:Chile × gender:Male × age_group:26-35,Highly Over-represented
Chile,Female,26-35,0.0002620719573775,11.0,0.01134020618556701,0.01107813422818951,0.01107813422818951,0.5539067114094756,1.1078134228189511,43.27134539325044,4227.134539325044,Country × Gender × Age,country:Chile × gender:Female × age_group:26-35,Highly Over-represented
Indonesia,Female,26-35,0.0034596794876443,14.0,0.01443298969072165,0.01097331020307735,0.01097331020307735,0.5486655101538676,1.097331020307735,4.171770749939928,317.17707499399285,Country × Gender × Age,country:Indonesia × gender:Female × age_group:26-35,Highly Over-represented
